time,rank,comment
2018-04,LV5,"		哇哇哇，这个美味的早餐好好吃啊。无论是中餐还是西餐的早餐在大家乐的都找得到哦，好多选择啊他们的早餐。价钱又非常的实惠，一点都不贵，这里的客服又很有礼貌，很有效率，东西分量也很足。不过这一家就是不好在她的商场是十点钟才开门，所以十点钟才可以来这里吃，所以在平时上班日是基本上不可能的啦，只有在公众假期的时候才能实现。不过啊，还是值得的，因为这样品质的早餐真的是给人家一种满满的正能量，开开心心的一天又开始了。		
"
2018-04,LV4,"		饿饿饿… 午饭午饭午饭。上完了早上的课有两个小时空档就得找吃的。在益田假日广场B2底层美食街走了一趟好像也没有看到很特别的，最后又绕回来溜冰场旁边的大家乐。🍴用餐环境：环境还不错，很宽阔很多位子。也不会像香港那些大家乐环境很拥挤。里边的吊灯饰也不错，随手拍了一张。最后自己选坐在角落的bar台位。📍送餐小科技体验：深圳这里的一些香港品牌快餐店如大家乐、大快活跟香港不一样；不需要自己拿餐… 服务员会送餐到你位子上。但餐厅内这么多人怎么找呢?今天初体验了客人位置/桌位定位小科技。只需把号码牌放到桌子上制定的定位发送点，服务员就能够精准哋找到您啦！🐔海南鸡饭套餐：好久没吃海南鸡饭了，今天试试这里的。套餐形式，但¥38有点小贵。🥣送的莲藕花生汤，一般般。有点不够热。🥕有带上一些开胃菜的腌制白菜红白萝卜条，还好… 没太大惊喜。🐔海南鸡饭，eemmm… 份量不是很多，而且鸡肉块有些偏肥呢，而且带些碎骨头。其实海南鸡饭是应该要做到“去骨”才有口感。另外鸡肉的味道也没有很香… 就感觉是在吃一般的鸡肉而已。		
"
2018-04,LV6,"		位于益田假日广场b2层，溜冰场旁边，很大的一家店，人流量多，每次来都几乎坐满，生意非常好。味道：最喜欢他们家的海南鸡饭，蘸上酱料很鲜香，旁边的酸菜味道也很好，不会过多在口腔留味服务：一般，可能人多的缘故，服务很机械化，没有过多的笑容和指引，优惠活动也不会主动告知，希望改善		
"
2018-03,LV7,"		送家人吃完后坐车，时间比较紧张，所以就随便找一家吃了，也是很多东西没了，基本就是咖喱鸡扒和洋葱猪扒可选。点完餐拿着号码牌放在桌子上的感应区，就知道顾客坐在哪桌了，做好了会送上桌，还挺方便~我没吃，家人都说味道还不错来着。		
"
2018-03,LV2,"		约朋友一起吃午餐，她说想吃白切鸡，就选了这一家大家乐，点了白切鸡米粉和咖喱牛腩饭，上歺速度很快，但牛暔偏硬，找了服务员反应，很快就帮我换了一个四宝饭，服务棒棒的。四宝饭很好吃。环境也不错，下午来人少，会安静些😀😀😀		
"
2018-03,LV1,"		「海南功夫鸡饭」不是更新了嘛，决定去尝一尝，今年第一次吃大家乐结果给我端过来的时候，没有放饭服务员就走了，我又要了一次，这家就是日常忙乱鸡的摆盘好糟糕，就是照片这样，和海报之间的差距有点大啊鸡肉好吃，很嫩，没有出现鸡毛之类的。葱姜汁很棒，但是酱油汁太淡了，只是看起来很黑，甜椒汁比较普通然后配菜是甜味的腌菜，胡萝卜莲花菜白萝卜，我个人更喜欢蚝油生菜莲藕排骨汤还是蛮好喝的油饭好吃！能吃满满一碗和以前比的话差别不大，比以前贵，但是新加的几样不太合胃口，想吃以前那种😂		
"
2018-02,LV5,"		对大家乐的海南鸡饭实在是太失望了，不论是味道还是食材的安全上都比期待的差太多了，记得在香港吃的时候味道还不错，怎么到了深圳差这么多。海南鸡饭味道好淡、鸡肉淡米饭，鸡肉的肉质也不是很好，开始有一块鸡肉的皮上有几根鸡毛，本来想也就算了，结果后面还有两块都是毛，哎，太不能接受了。整体水平最多及格分，希望好好重视菜品哦，其实还是蛮喜欢大家乐的。		
"
2018-04,LV5,"		一如既往的好吃的一哥焗猪扒饭～竟然降价了！36元套餐😍😍😍之前是38元的好像是最近搞活动吗？😝😝😝哈哈哈哈哈～送餐很快👍👍👍环境非常干净整洁👍👍👍人蛮多的，但是送餐还是非常快咯奶茶一如既往的好喝～nice😀😀😀		
"
2018-01,LV7,"		跟暖心百科姐去香港竟然不知道吃什么，迷茫的我们只好回深圳吃百科姐的最爱——大家乐烧春鸡。😅在益田假日负一楼，地铁站出来很快就能找到。感觉大家乐生意一直很不错，经常也是处于满座的情况。当然要了百科姐最爱的烧春鸡啊！外层酱香微焦，皮很脆，里面的肉感觉柴了点。冻柠茶虽然也算碎冰，但就是没有新发的那种感觉。🙂		
"
2018-04,LV2,"		想吃个快餐，不要让时间浪费！查了下店，朋友叫了五六个大家乐外卖，卖相一般，饭菜冷，不够温度…黑椒味道可以，不知道什么情况，我吃了后上了两次厕所了，我其他朋友还好，但愿菜没问题！价格一般，如果再上厕所…我就要找商家啦😂😢		
"
2018-04,LV6,"		好久没来大家乐吃工作餐了，最近推送看到活动，就下来尝尝鲜，最近大家乐新品都不错，都没有黑暗料理。马来西亚风味的米粉汤真的是很好喝，里面料很丰富，2只大虾很新鲜，很实在，肉也很多。就是粉煮烂了点。海南鸡饭搭配得很不错，鸡肉不会粉，莲藕汤还不错。又回来大家乐吃饭饭的节奏了		
"
2018-03,LV6,"		培训完毕就近吃饭，本来想在联城新天地找德克士吃炸鸡，没想到没他们家店了，于是就近进了大家乐，点了烧春鸡。#烧春鸡套餐# 烧鸡皮脆肉嫩，很好吃，椒盐罐一起端上来，可以自己加味。配的玉米棒有点老。没有主食，份量也够。可乐超大杯，很多碎冰。 #粟米炸鱼鸡扒套餐# 鸡扒做得还行，炸鱼没什么味道，普通。我们到的时候人不多，服务员没配齐吃鸡的手套，得自己忙活去取。总体评价三星半。		
"
