name,taste,environment,service,price,comment-volume,link
大家乐餐厅(深国投广场店),7.3,7.2,7.4,35,652,http://www.dianping.com/shop/32529713
大家乐(丰盛町店),7.4,7.5,7.5,35,579,http://www.dianping.com/shop/32529708
大家乐(罗湖店),7.2,7.2,7.2,35,167,http://www.dianping.com/shop/522511
大家乐(五和海达店),7.1,7.5,7.4,36,277,http://www.dianping.com/shop/32529710
大家乐(福民店),7.4,7.7,7.5,39,288,http://www.dianping.com/shop/1927966
大家乐(卓越世纪中心店),7.1,7.4,7.2,36,280,http://www.dianping.com/shop/5685240
大家乐(海雅缤纷城店),7.0,7.2,6.8,32,414,http://www.dianping.com/shop/11567079
大家乐(新洲店),7.2,7.5,7.4,35,425,http://www.dianping.com/shop/3300208
大家乐茶餐厅(怡景中心城店),6.8,7.0,7.2,33,29,http://www.dianping.com/shop/5651555
大家乐餐厅,7.6,7.6,7.6,36,1,http://www.dianping.com/shop/66375147
大家乐餐馆,6.9,6.9,6.9,36,1,http://www.dianping.com/shop/40859282
石岩湖新大家乐农庄,7.3,7.1,7.2,0,5,http://www.dianping.com/shop/90313590
大家乐烧味一品,7.0,7.2,7.0,36,9,http://www.dianping.com/shop/9194697
大家乐爽爽甜品,7.4,7.4,7.4,36,637,http://www.dianping.com/shop/69732424
中信大家乐,6.9,6.9,6.9,36,3,http://www.dianping.com/shop/67703783
大家乐(中信店),7.2,7.5,7.2,34,497,http://www.dianping.com/shop/5587958
