name,taste,environment,service,price,comment-volume,link
肯德基(万象天地店),7.2,7.5,7.4,0,12,http://www.dianping.com/shop/99812148
肯德基(机场T3出发店),7.1,7.0,6.8,0,4,http://www.dianping.com/shop/99822117
肯德基(前进店),7.4,7.5,7.4,23,38,http://www.dianping.com/shop/2930455
肯德基(保利文化广场店),7.3,7.3,7.1,27,105,http://www.dianping.com/shop/4683771
肯德基(侨香店),7.2,7.2,7.2,22,56,http://www.dianping.com/shop/4591350
肯德基(卓越汇店),7.4,7.7,7.7,30,3,http://www.dianping.com/shop/73561544
肯德基(新洲店),7.0,7.3,7.0,27,78,http://www.dianping.com/shop/5285926
肯德基(福华路店),7.3,7.3,7.3,31,30,http://www.dianping.com/shop/65909755
肯德基(星河时代店),7.5,7.5,7.4,28,43,http://www.dianping.com/shop/19805538
肯德基(宝能太古城店),7.6,7.9,7.8,30,79,http://www.dianping.com/shop/19805583
肯德基(天虹商场西丽店),7.3,7.5,7.3,27,109,http://www.dianping.com/shop/2930590
肯德基(金田店),7.4,7.4,7.4,27,48,http://www.dianping.com/shop/2930422
肯德基(龙翔店),7.3,7.3,7.3,30,29,http://www.dianping.com/shop/2930443
肯德基(壹方城店),7.0,7.4,7.3,0,6,http://www.dianping.com/shop/99811990
肯德基(益田假日店),7.2,7.5,7.1,26,46,http://www.dianping.com/shop/21269509
肯德基(桃园店),7.0,7.0,7.0,31,70,http://www.dianping.com/shop/2930563
肯德基(凤凰店),7.5,7.6,7.4,31,62,http://www.dianping.com/shop/2930281
肯德基(地王大厦店),7.2,7.2,7.2,15,18,http://www.dianping.com/shop/2930245
肯德基(COCOPARK店),7.3,7.2,7.1,27,114,http://www.dianping.com/shop/65909431
肯德基(万科城店),7.2,7.2,7.0,21,60,http://www.dianping.com/shop/2930569
肯德基(梅林店),7.3,7.3,7.4,27,88,http://www.dianping.com/shop/2930449
肯德基(软件园店),7.2,7.2,7.3,28,18,http://www.dianping.com/shop/69034363
肯德基(金色家园店),7.3,7.5,7.2,29,83,http://www.dianping.com/shop/2930419
肯德基(吉祥店),7.4,7.4,7.3,47,17,http://www.dianping.com/shop/2930425
肯德基(中心书城店),7.1,7.4,7.5,24,197,http://www.dianping.com/shop/2930518
肯德基(南园店),7.2,7.2,7.2,28,36,http://www.dianping.com/shop/19805556
肯德基(连城新天地店),7.0,7.1,7.1,25,48,http://www.dianping.com/shop/19805593
肯德基(华强店),7.2,7.4,7.3,30,20,http://www.dianping.com/shop/5679175
肯德基(松园店),7.2,7.2,7.1,39,47,http://www.dianping.com/shop/24082738
肯德基(华润万象城店),7.4,7.6,7.5,29,167,http://www.dianping.com/shop/23657367
肯德基(上东湾店),7.2,7.3,7.1,28,30,http://www.dianping.com/shop/19805569
肯德基(招商店),7.4,7.4,7.3,24,59,http://www.dianping.com/shop/19805568
肯德基(香缤店),7.2,7.4,7.3,26,68,http://www.dianping.com/shop/2930509
肯德基(红荔西店),7.3,7.3,7.2,36,39,http://www.dianping.com/shop/19805535
肯德基(吉华店),7.3,7.3,7.3,28,4,http://www.dianping.com/shop/74621601
肯德基(东园店),7.3,7.4,7.3,19,40,http://www.dianping.com/shop/2930272
肯德基(海上世界店),7.2,7.2,7.2,35,69,http://www.dianping.com/shop/2930383
肯德基(黄金台店),7.2,7.2,7.3,28,34,http://www.dianping.com/shop/2930404
肯德基(白金假日店),7.4,7.6,7.5,34,45,http://www.dianping.com/shop/19255744
肯德基(高新区店),7.4,7.6,7.4,22,93,http://www.dianping.com/shop/2930305
肯德基(华海店),7.4,7.4,7.5,24,51,http://www.dianping.com/shop/2930287
肯德基(田贝店),7.2,7.4,7.3,54,29,http://www.dianping.com/shop/19805514
肯德基(麒麟店),7.2,6.9,6.7,38,24,http://www.dianping.com/shop/56837228
肯德基(新湖店),7.6,7.5,7.6,35,59,http://www.dianping.com/shop/5247739
肯德基(鼎新店),7.1,7.1,7.3,28,34,http://www.dianping.com/shop/24082843
肯德基(三联店),7.3,7.3,7.2,28,21,http://www.dianping.com/shop/56709822
肯德基(坪山友谊DT店),7.2,7.4,7.4,30,12,http://www.dianping.com/shop/19805562
肯德基(信义店),7.2,7.3,7.2,25,33,http://www.dianping.com/shop/19805517
肯德基(金光华店),7.5,7.5,7.5,29,95,http://www.dianping.com/shop/2930416
肯德基(丰盛町店),7.5,7.5,7.4,25,44,http://www.dianping.com/shop/4591006
肯德基(景田店),7.2,7.3,7.3,24,80,http://www.dianping.com/shop/2930410
肯德基(德赛店),7.1,7.2,7.0,28,34,http://www.dianping.com/shop/24082765
肯德基(北站店),7.1,6.9,6.6,0,4,http://www.dianping.com/shop/99811983
肯德基(金稻田店),7.4,7.5,7.3,28,33,http://www.dianping.com/shop/21138441
肯德基(群星广场店),7.2,7.3,7.2,28,61,http://www.dianping.com/shop/2930470
肯德基(彩田店),7.3,7.4,7.3,21,80,http://www.dianping.com/shop/2930215
肯德基(彩德城店),7.3,7.4,7.3,24,44,http://www.dianping.com/shop/19805519
肯德基(梅华店),7.1,7.0,6.7,35,67,http://www.dianping.com/shop/2930446
肯德基(海雅百货南山店),7.2,7.5,7.3,35,56,http://www.dianping.com/shop/2930386
肯德基(书香门第DT店),7.1,7.2,7.2,27,38,http://www.dianping.com/shop/50479401
肯德基(花好园店),8.1,8.2,8.2,30,7057,http://www.dianping.com/shop/2930401
肯德基(水榭春天店),7.5,7.4,7.4,34,33,http://www.dianping.com/shop/19805547
肯德基(竹子林店),7.2,7.4,7.2,24,29,http://www.dianping.com/shop/5293700
肯德基(百仕达店),7.3,7.3,7.2,30,59,http://www.dianping.com/shop/2930200
肯德基(嘉御山店),7.3,7.3,7.3,41,52,http://www.dianping.com/shop/19805511
肯德基(莲塘店),7.4,7.4,7.4,28,13,http://www.dianping.com/shop/69189010
肯德基(桃源村店),7.0,7.1,6.9,43,62,http://www.dianping.com/shop/4588786
肯德基(科苑店),7.5,7.5,7.3,29,67,http://www.dianping.com/shop/17889732
肯德基(创业店),7.3,7.3,7.3,21,52,http://www.dianping.com/shop/2930230
肯德基(东方雅苑店),7.4,7.3,7.2,21,58,http://www.dianping.com/shop/2930251
肯德基(东龙店),7.0,7.1,6.9,27,35,http://www.dianping.com/shop/58001139
肯德基(观澜店),7.2,7.3,7.2,39,38,http://www.dianping.com/shop/2930323
肯德基(雍景城店),7.4,7.4,7.4,28,14,http://www.dianping.com/shop/4588783
肯德基(华强东店),7.3,7.4,7.3,22,32,http://www.dianping.com/shop/4586764
肯德基(上步店),7.3,7.3,7.2,32,24,http://www.dianping.com/shop/19805594
肯德基(布吉老街店),7.3,7.3,7.3,23,32,http://www.dianping.com/shop/16906182
肯德基(东方城店),7.3,7.3,7.2,19,33,http://www.dianping.com/shop/10620311
肯德基(水径店),7.3,7.1,7.1,28,13,http://www.dianping.com/shop/67508329
肯德基(华旺店),7.4,7.5,7.4,28,42,http://www.dianping.com/shop/19805520
肯德基(民治天虹店),7.4,7.4,7.3,28,53,http://www.dianping.com/shop/19805561
肯德基(金鸡路店),7.1,7.4,7.3,25,17,http://www.dianping.com/shop/24020381
肯德基(翡翠店),7.2,7.2,7.1,27,55,http://www.dianping.com/shop/2930275
肯德基(龙华中心站店),7.2,7.2,7.3,32,44,http://www.dianping.com/shop/19805546
肯德基(御景东方店),7.3,7.4,7.2,23,38,http://www.dianping.com/shop/19805574
肯德基(福荣路店),7.3,7.4,7.3,28,30,http://www.dianping.com/shop/21376992
肯德基(春风店),7.5,7.4,7.6,25,54,http://www.dianping.com/shop/2930236
肯德基(东湖店),7.4,7.5,7.5,29,40,http://www.dianping.com/shop/2930254
肯德基(大新店),7.1,7.3,7.2,33,71,http://www.dianping.com/shop/5317417
肯德基(蔚蓝海岸店),7.3,7.3,7.0,27,48,http://www.dianping.com/shop/2930584
肯德基(中航天逸店),7.3,7.5,7.4,25,31,http://www.dianping.com/shop/58730945
肯德基(数码新城DT店),7.3,7.4,7.2,30,25,http://www.dianping.com/shop/19805540
肯德基(四海店),7.3,7.4,7.4,27,64,http://www.dianping.com/shop/2930554
肯德基(新园店),7.3,7.2,7.0,22,75,http://www.dianping.com/shop/2930596
肯德基(新保辉店),7.4,7.4,7.3,24,42,http://www.dianping.com/shop/19805551
肯德基(星都豪庭店),7.5,7.3,7.1,28,15,http://www.dianping.com/shop/67232016
肯德基(八卦岭店),7.4,7.4,7.3,29,67,http://www.dianping.com/shop/2930194
肯德基(深圳湾体育中心店),7.1,7.1,6.9,37,37,http://www.dianping.com/shop/5614140
肯德基(罗湖火车站餐厅),7.2,7.2,7.1,28,27,http://www.dianping.com/shop/16926485
肯德基(格澜郡店),7.2,7.2,7.1,41,40,http://www.dianping.com/shop/24082694
肯德基(华南城店),7.3,7.3,7.3,25,33,http://www.dianping.com/shop/19805560
肯德基(坭岗店),7.2,7.2,7.1,37,49,http://www.dianping.com/shop/59223950
肯德基(富通城店),7.4,7.5,7.3,25,16,http://www.dianping.com/shop/5202411
肯德基(新银座店),7.4,7.4,7.3,28,25,http://www.dianping.com/shop/19805603
肯德基(龙观店),7.3,7.3,7.2,29,23,http://www.dianping.com/shop/19805545
肯德基(大鹏店),7.1,7.4,7.1,26,31,http://www.dianping.com/shop/8030116
肯德基(岗厦店),7.4,7.4,7.4,28,40,http://www.dianping.com/shop/50493526
