name,taste,environment,service,price,comment-volume,link
麦当劳(T3航站楼二店),7.4,7.9,7.8,34,87,http://www.dianping.com/shop/15880538
麦当劳(高新南一道店),7.2,7.4,7.2,28,98,http://www.dianping.com/shop/66884974
麦当劳(西丽店),7.3,7.3,7.3,31,105,http://www.dianping.com/shop/2929879
麦当劳(坂田店),7.5,7.7,7.6,21,96,http://www.dianping.com/shop/19254534
麦当劳(侨城西街店),7.4,7.5,7.4,54,78,http://www.dianping.com/shop/16974115
麦当劳(金田店),7.5,7.5,7.4,20,53,http://www.dianping.com/shop/2929900
麦当劳(壹方城店),7.4,7.5,7.4,0,21,http://www.dianping.com/shop/97081182
麦当劳(怡景中心城店),7.6,7.6,7.6,19,152,http://www.dianping.com/shop/66885006
麦当劳(中心路店),6.6,6.7,6.3,39,123,http://www.dianping.com/shop/10332201
麦当劳(东海购物广场店),7.5,7.7,7.4,31,173,http://www.dianping.com/shop/2929738
麦当劳(罗湖解放路店),7.3,7.0,7.1,0,17,http://www.dianping.com/shop/97808922
麦当劳(大运DT店),7.3,7.2,6.8,31,81,http://www.dianping.com/shop/66885027
麦当劳(华润万象城店),7.4,7.4,7.3,20,98,http://www.dianping.com/shop/66884982
麦当劳(宝安中心区创业一路店),7.7,7.7,7.7,27,79,http://www.dianping.com/shop/19237738
麦当劳(华融店),7.3,7.2,7.0,26,89,http://www.dianping.com/shop/2929732
麦当劳(中航路店),7.9,7.7,8.1,17,27,http://www.dianping.com/shop/94015083
麦当劳(中康路分店),7.7,7.7,7.7,26,64,http://www.dianping.com/shop/69102742
麦当劳(红荔西店),7.2,7.4,7.5,24,77,http://www.dianping.com/shop/2929975
麦当劳(景田店),7.8,7.8,7.9,21,142,http://www.dianping.com/shop/2929906
麦当劳(海岸城店),7.6,7.8,7.3,24,172,http://www.dianping.com/shop/2929714
麦当劳(莲塘店),7.6,7.5,7.6,27,81,http://www.dianping.com/shop/2929885
麦当劳(T3航站楼一店),7.3,7.4,7.3,33,26,http://www.dianping.com/shop/69409745
麦当劳(新高路店),7.5,7.4,7.3,21,77,http://www.dianping.com/shop/5626737
麦当劳(南山店),7.3,7.2,7.1,25,117,http://www.dianping.com/shop/2930068
麦当劳(八卦岭店),7.6,7.8,7.7,27,66,http://www.dianping.com/shop/8077476
麦当劳(前海2店),7.5,7.4,7.3,22,46,http://www.dianping.com/shop/4292319
麦当劳(公园路店),7.4,7.4,7.3,26,43,http://www.dianping.com/shop/21397610
麦当劳(怡景店),7.4,7.4,7.3,22,42,http://www.dianping.com/shop/2930041
麦当劳(石厦店),7.4,7.4,7.4,11,82,http://www.dianping.com/shop/22204597
麦当劳(创业二路分店),7.4,7.4,7.3,21,20,http://www.dianping.com/shop/69102791
麦当劳(南园路店),7.5,7.4,7.6,22,94,http://www.dianping.com/shop/20863189
麦当劳(火车站2),7.9,7.5,7.8,30,41,http://www.dianping.com/shop/69004694
麦当劳(翠竹店),7.5,7.5,7.4,22,190,http://www.dianping.com/shop/5342164
麦当劳(来福士广场店),7.2,7.7,7.6,24,27,http://www.dianping.com/shop/67697774
麦当劳(福星店),7.2,7.1,7.0,20,51,http://www.dianping.com/shop/2929966
麦当劳(农林路店),7.8,7.7,7.9,25,51,http://www.dianping.com/shop/58878282
麦当劳(长安店),7.4,7.3,7.4,28,50,http://www.dianping.com/shop/2930011
麦当劳(光明大街店),7.4,7.5,7.4,24,18,http://www.dianping.com/shop/18215011
麦当劳(坂田佳华店),7.0,7.0,7.0,0,1,http://www.dianping.com/shop/98400344
麦当劳(观澜大道店),7.5,7.4,7.4,32,76,http://www.dianping.com/shop/8672235
麦当劳(海上世界店),7.3,7.3,7.1,23,95,http://www.dianping.com/shop/3666055
麦当劳(深圳北站高铁店),6.9,7.2,7.0,38,94,http://www.dianping.com/shop/14734213
麦当劳(前海店),7.2,7.3,7.3,24,85,http://www.dianping.com/shop/2929825
