name,taste,environment,service,price,comment-volume,link
华莱士(南山南园店),7.4,6.9,6.6,0,10,http://www.dianping.com/shop/92488162
华莱士(福田上沙店),6.4,6.4,6.4,0,1,http://www.dianping.com/shop/97942871
华莱士(清湖地铁店),7.8,7.8,7.7,26,282,http://www.dianping.com/shop/27453758
华莱士(坪山店),7.1,7.2,7.1,18,72,http://www.dianping.com/shop/57021455
华莱士炸鸡汉堡(西丽店),7.1,7.3,7.3,20,367,http://www.dianping.com/shop/21557605
华莱士(坪洲店),6.7,6.8,6.5,0,6,http://www.dianping.com/shop/92957426
华莱士炸鸡汉堡(爱联店),7.2,7.1,6.8,17,67,http://www.dianping.com/shop/66032450
华莱士(吉祥地铁站店),7.1,7.3,7.1,0,5,http://www.dianping.com/shop/96678299
华莱士(布吉西环路店),6.7,6.7,6.7,0,1,http://www.dianping.com/shop/98148383
华莱士(荔枝花园店),7.3,7.2,7.2,19,5,http://www.dianping.com/shop/76826804
华莱士(新龙店),7.0,6.9,6.6,19,23,http://www.dianping.com/shop/15626552
华莱士炸鸡汉堡(溪头店),6.8,6.8,6.8,16,35,http://www.dianping.com/shop/62511590
华莱士炸鸡汉堡(民乐老村店),7.5,7.3,7.4,24,369,http://www.dianping.com/shop/8692469
华莱士(横岗宝华店),7.0,7.1,7.1,24,185,http://www.dianping.com/shop/27453713
华莱士炸鸡汉堡(龙华汽车站店),7.8,7.7,7.6,20,611,http://www.dianping.com/shop/21643769
华莱士(深圳坂田店),7.4,7.4,7.0,19,196,http://www.dianping.com/shop/27013286
华莱士(前进店),7.3,7.3,7.3,0,2,http://www.dianping.com/shop/92044630
华莱士炸鸡汉堡(福永新和店),7.4,7.4,7.4,20,150,http://www.dianping.com/shop/22279728
华莱士(深圳南山店),7.2,7.2,7.2,0,3,http://www.dianping.com/shop/97402116
华莱士(罗湖乐万店),7.5,7.5,7.5,25,163,http://www.dianping.com/shop/23422683
华莱士炸鸡汉堡(吉华店),7.1,7.1,6.9,16,39,http://www.dianping.com/shop/66799510
华莱士炸鸡汉堡(白石厦店),7.2,7.3,7.3,21,198,http://www.dianping.com/shop/37765346
华莱士炸鸡汉堡(龙吟二路店),7.5,7.4,7.3,25,375,http://www.dianping.com/shop/22348392
华莱士(汽车城店),7.1,7.1,7.1,18,26,http://www.dianping.com/shop/69700005
华莱士炸鸡汉堡(福永店),7.5,7.5,7.4,21,263,http://www.dianping.com/shop/22348325
华莱士(深圳罗湖红桂店),7.2,7.2,7.2,0,3,http://www.dianping.com/shop/96166052
华莱士(平湖吉星店),7.3,7.3,7.4,22,98,http://www.dianping.com/shop/23422848
华莱士(布吉莲花店),7.5,7.5,7.5,21,344,http://www.dianping.com/shop/9230337
华莱士炸鸡汉堡(石岩园岭店),7.7,7.6,7.7,19,344,http://www.dianping.com/shop/22343459
华莱士(中环路店),7.1,7.1,7.1,0,6,http://www.dianping.com/shop/92728845
华莱士(西乡店),7.5,7.5,7.5,0,1,http://www.dianping.com/shop/91971666
华莱士炸鸡汉堡(上川店),7.7,7.7,7.7,24,638,http://www.dianping.com/shop/19281115
华莱士(双龙平冈店),7.4,7.3,7.3,21,201,http://www.dianping.com/shop/23336841
华莱士(骏华店),6.9,7.3,7.6,15,27,http://www.dianping.com/shop/8692468
华莱士(横岗四联),7.0,6.8,7.1,0,2,http://www.dianping.com/shop/90915481
华莱士炸鸡汉堡(华为基地店),6.6,6.8,6.8,17,57,http://www.dianping.com/shop/66032264
华莱士(东门中兴路店),7.2,6.8,6.8,0,1,http://www.dianping.com/shop/102065345
华莱士(横岭店),7.4,7.3,7.3,0,11,http://www.dianping.com/shop/92166549
华莱士(民治店),7.1,7.2,7.0,18,64,http://www.dianping.com/shop/18237892
华莱士(深圳万盛店),6.9,6.9,6.8,14,51,http://www.dianping.com/shop/66881674
