name,taste,environment,service,price,comment-volume,link
真功夫(蛇口公园南店),7.3,7.6,7.3,19,358,http://www.dianping.com/shop/4500062
真功夫(福民店),7.1,7.3,7.1,24,761,http://www.dianping.com/shop/2071324
真功夫(前海店),7.5,7.6,7.5,23,589,http://www.dianping.com/shop/4220256
真功夫(西丽店),7.2,7.4,7.3,24,696,http://www.dianping.com/shop/579941
真功夫(君逸世家店),7.5,7.6,7.4,32,504,http://www.dianping.com/shop/8021835
真功夫(香轩路店),7.1,7.3,7.2,20,279,http://www.dianping.com/shop/9347788
真功夫(科技园店),7.3,7.6,7.4,25,523,http://www.dianping.com/shop/3227695
真功夫(振华路店),6.7,6.8,6.8,26,265,http://www.dianping.com/shop/522098
真功夫,7.5,7.5,7.4,32,1020,http://www.dianping.com/shop/5725945
真功夫(保利广场店),7.5,7.5,7.4,25,651,http://www.dianping.com/shop/2400982
真功夫(梅林路店),7.4,7.7,7.4,22,525,http://www.dianping.com/shop/3530995
真功夫(嘉宾路店),7.3,7.3,7.3,32,492,http://www.dianping.com/shop/524328
真功夫(福华路店),7.3,7.5,7.2,21,484,http://www.dianping.com/shop/2923135
真功夫(大芬店),7.3,7.4,7.3,27,175,http://www.dianping.com/shop/5139138
真功夫(福中路店),7.5,7.6,7.5,17,462,http://www.dianping.com/shop/4590125
真功夫(民田路店),7.4,7.4,7.1,25,412,http://www.dianping.com/shop/2091010
真功夫(龙福店店),7.4,7.5,7.3,30,179,http://www.dianping.com/shop/4700546
真功夫(宝丰店),7.1,7.3,7.3,36,554,http://www.dianping.com/shop/3210331
真功夫(北大医院店),7.3,7.3,7.2,25,31,http://www.dianping.com/shop/69488195
真功夫(上河坊店),7.5,7.5,7.5,20,709,http://www.dianping.com/shop/6442164
真功夫,7.1,7.3,7.2,0,9,http://www.dianping.com/shop/92965758
真功夫(创业万家店),7.3,7.4,7.1,25,291,http://www.dianping.com/shop/8021858
真功夫(景田店),7.4,7.4,7.3,27,704,http://www.dianping.com/shop/2071327
真功夫(崇尚店),7.1,7.5,7.3,29,598,http://www.dianping.com/shop/2256526
真功夫(常兴路店),7.2,7.4,7.3,27,402,http://www.dianping.com/shop/2484793
真功夫(深圳北站二店),7.3,7.3,7.2,20,413,http://www.dianping.com/shop/18814380
真功夫(上沙广场店),7.3,7.4,7.4,24,424,http://www.dianping.com/shop/4590819
真功夫(彩田路店),7.5,7.5,7.5,21,329,http://www.dianping.com/shop/3328630
真功夫(海城店),7.4,7.8,7.5,20,502,http://www.dianping.com/shop/8021834
真功夫(万业城店),7.0,7.3,7.1,27,171,http://www.dianping.com/shop/524335
真功夫(桃源村三期店),7.3,7.3,7.3,26,444,http://www.dianping.com/shop/4590124
真功夫(莲塘店),7.4,7.4,7.3,24,539,http://www.dianping.com/shop/2037001
真功夫(香缤广场店),7.5,7.5,7.5,25,463,http://www.dianping.com/shop/3207325
真功夫(科技园二分店),7.3,7.6,7.4,27,328,http://www.dianping.com/shop/17218648
真功夫(天虹商场横岗松柏店),7.6,7.7,7.6,31,190,http://www.dianping.com/shop/23367427
真功夫(盐田店),7.1,7.3,7.2,23,227,http://www.dianping.com/shop/6352411
真功夫(怡景中心城店),7.2,7.2,7.1,24,349,http://www.dianping.com/shop/2410756
真功夫(世外桃源店),7.3,7.2,7.1,24,292,http://www.dianping.com/shop/4586579
真功夫(机场店),7.0,7.3,7.0,38,14,http://www.dianping.com/shop/4527718
真功夫(民治大道店),7.6,7.9,7.7,26,479,http://www.dianping.com/shop/4592472
真功夫(海岸城店),7.6,7.5,7.4,33,84,http://www.dianping.com/shop/56792782
真功夫(华强北路店),7.6,7.8,7.7,28,530,http://www.dianping.com/shop/18687408
真功夫(科技园三店),7.0,7.1,6.9,0,15,http://www.dianping.com/shop/90979777
真功夫(天安云谷分店),7.2,7.4,7.3,28,58,http://www.dianping.com/shop/56584642
真功夫(东门人民北路店),7.0,7.4,7.0,24,246,http://www.dianping.com/shop/6800288
真功夫(石岩佳华店),7.4,7.4,6.9,39,264,http://www.dianping.com/shop/4590123
真功夫(东环一路店),7.2,7.3,7.3,18,354,http://www.dianping.com/shop/8021994
真功夫(锦绣江南店),7.3,7.3,7.1,32,298,http://www.dianping.com/shop/4208068
真功夫(学府店),7.0,7.2,7.1,31,555,http://www.dianping.com/shop/568108
真功夫(南园路店),7.3,7.4,7.1,22,199,http://www.dianping.com/shop/18814398
真功夫(碧海城店),7.1,7.2,7.0,26,41,http://www.dianping.com/shop/27147900
真功夫(民治二店店),7.4,7.7,7.6,29,484,http://www.dianping.com/shop/14172533
真功夫(公明建设店),7.3,7.4,7.3,19,235,http://www.dianping.com/shop/18687411
真功夫(新闻路店),7.1,7.2,7.1,24,273,http://www.dianping.com/shop/2607046
真功夫(沙井佳华店),7.2,7.3,7.3,24,225,http://www.dianping.com/shop/8000093
真功夫(龙华店),7.1,7.3,7.0,25,257,http://www.dianping.com/shop/18687406
真功夫(航苑大厦店),7.1,7.0,6.8,23,278,http://www.dianping.com/shop/5419759
真功夫(布吉火车站店店),7.4,7.6,7.6,36,346,http://www.dianping.com/shop/6140962
真功夫(海湾店),7.6,7.7,7.6,25,229,http://www.dianping.com/shop/5457961
真功夫,7.0,7.0,6.9,0,6,http://www.dianping.com/shop/98582936
真功夫(建安店),7.4,7.3,7.3,25,299,http://www.dianping.com/shop/524334
真功夫(港隆城店),7.5,7.6,7.5,28,562,http://www.dianping.com/shop/4592364
真功夫(沙井中心店),7.6,7.6,7.6,25,238,http://www.dianping.com/shop/579942
真功夫(喜得客店),7.3,7.5,7.3,15,163,http://www.dianping.com/shop/8021797
真功夫(宝能店),7.4,7.4,7.5,32,159,http://www.dianping.com/shop/4700568
真功夫(佳和店),7.4,7.6,7.4,25,267,http://www.dianping.com/shop/18687409
真功夫(彩福店),7.2,7.3,7.4,21,308,http://www.dianping.com/shop/11564607
真功夫(民治三店店),7.6,7.7,7.6,26,259,http://www.dianping.com/shop/18814402
真功夫(深圳火车站一店),6.8,7.0,6.8,26,101,http://www.dianping.com/shop/56880878
真功夫(观澜镇章阁店),7.0,7.2,7.0,21,224,http://www.dianping.com/shop/524325
真功夫(石岩南海店),7.1,7.1,7.0,24,154,http://www.dianping.com/shop/18687410
真功夫(东环天虹店),7.1,7.2,7.1,23,359,http://www.dianping.com/shop/16925059
真功夫(龙华悦都店),7.1,7.5,7.1,0,8,http://www.dianping.com/shop/90979696
真功夫(坪山店),7.4,7.4,7.4,19,214,http://www.dianping.com/shop/1971787
